Luis Joyanes
A. Silberschatz
James Gosling
David Gries
Jay E. Aronson
Isidro Ramos Salavert
Terrence W. Pratt
G. S. Graham
Chuck Musciano
Margrethe H. Olson
Mariano Barrón Ruiz
Frank G. Pagan
Fred B. Schneider
Harvey M. Deitel
Robert W. Sebesta
Mark Maslakowski
Bjarne Stroustrup
Gerald R. Peterson
John B. Peatman
Jeffrey S. Rosenthal
E. D. Lazowska
Larry L. Peterson
Bruce S. Davie
Ismael Jeder
NA
Rainer Handel
A. van Dam
Oscar Meza
Kendall
Ralph P. Grimaldi
Richard H. Eckhouse Jr.
Shamkant B. Navathe
R. A. Hirschheim
Edelmira Pasarella
A. Kaldewaij
Mary E. S. Loomis
Institute of Industrial Automation and Sofware Engineering
Michael J. Evans
Ramez E. Elmasri
Allen Macro
J. Peterson
John G. Burch Jr.
Gérard LeBlanc
Ya. Z. Tsypkin
Gustavo Lopez
Kornel Terplan
David Kroenke
Vicente Yriarte
Steven Alter
John E. Hopcroft
Meyer
Gilles Brassard
Margaret A. Ellis
Pedro R. Borges
Wolfgang K. Giloi
Judea Pearl
Miguel A. Revilla
Douglas V. Hall
Barbara Liskov
Taha
Kai-Yeung Siu
Kenneth H. Rosen
Douglas E. Comer
Olen R. Pearson
Craig Larman
David W. Etherington
Kendall E. Atkinson
Johyce Farrell
V. E. Cheong
M. Pauline Baker
James M. Farber
J. Douglas Faire
P. Galvin
Allen B. Tucker
John W. Jewett
David A. Patterson
William W. Collier
Frederick J. Hill
Xavier Franch Gutiérrez
Cristina Zoltan
Jerrol E. Marsden
Alan M. Davis
Philippe J. Gabrini
José Aguilar
Jeffrey D. Ullman
Michael A. Arbib
Bill Kennedy
Dee-Ann LeBlanc
Ken Arnold
John L. Hennessy
Gerard Tel
James A. Senn
Donald Hearn
Michael L. Scott
Douglas Figueroa
Charles T. Meadow
N. A. J. Hastings
Ronald L. Rivest
J. Mack Adams
Ravi Sethi
Elliote Rusty Harold
Oscar Pastor Lopez
Arman Danesh
María Margarita Olivares
Mark A. Dye
Rajeev Motwani
Efraim Turban
Samuel Karlin
David L. Stevens
Maruja Ortega
R. C. Holt
Monica S. Lam
Raymond A. Serway
Harold Abelson
David Harel
Michael J. Miller
C. J. Date
Harry C. Katz
J. D. Foley
Francis Sears
M. Tamer Ozsu
Steven S. Skiena
Anthony J. Tromba
Felix R. Strater Jr
I. Sommerville
M. Morris Mano
Richard R. Rosinski
Rick MacDonald
Michael Pinedo
Microsoft
Mark Zemansky
Steven A. Przybylski
Alfred V. Aho
L. Robert Morris
Timothy Budd
Paul Bratley
Louis Baker
Kevin Stoltz
Glenn W. Rowe
Vwani Roychowdhury
Patrick Valduriez
Weingarten
Kenneth C. Louden
Knuth
Xiomara Contreras
Andrew S. Tanenbaum
Ernst Leiss
John T. Demel
David Holmes
Uyless Black
Herbert B. Enderton
David Flanagan
Henry Ledgard
Dave Chaffey
Gary Cornell
Autor
Niklaus Wirth
Jean- Paul Tremblay
Thomas H. Cormen
A. Silberchatz
Graham Glass
Paul G. Sorenson
Richard L. Burden
Werner Feibel
Michael Marcotty
Augusto Vega
Gordon B. Davis
Thomas Kailath
Richard Johnsonbaugh
Barry L. Kurtz
Dennis M. Ritchie
Brian K. Kernighan
William Stallings
Charles E. Leiserson
