101,80
101,122
501,97
501,158
501,172
502,34
901,145
902,1
902,72
903,13
904,145
905,83
905,146
906,145
907,1
907,40
907,72
1301,99
1301,111
1301,132
601,103
602,50
603,19
603,37
908,76
909,7
909,20
909,110
910,171
911,131
1302,14
1303,6
1101,36
1304,93
1305,11
1201,59
912,159
913,87
503,27
503,109
9901,85
701,5
701,101
1306,99
9902,113
1307,152
1307,163
1308,73
1309,141
1310,49
1310,84
1310,105
504,157
504,160
505,51
505,135
506,67
1501,145
507,23
507,44
507,164
508,114
1601,9
1601,165
702,63
1311,84
1311,132
1312,84
1312,132
1313,84
1313,132
1314,142
1602,96
509,143
510,143
1001,48
1002,4
1002,106
1003,41
1003,123
1004,91
1005,46
1006,28
1007,95
1502,21
1502,22
1503,162
1504,171
1505,137
1506,62
1506,108
1507,62
1507,108
1508,117
1509,171
1510,153
703,169
703,170
1603,25
1511,32
1511,68
1512,149
1513,45
704,82
704,98
704,168
1514,104
1514,127
9903,43
1102,81
1103,39
1104,124
1604,129
511,49
511,84
511,132
512,33
512,79
1605,171
9904,35
513,156
514,128
1401,26
1401,118
705,56
705,121
515,78
516,90
1402,24
706,13
9905,136
707,154
708,100
9906,0
1403,69
1403,92
1404,26
1404,118
1405,54
1406,115
1406,147
517,138
518,134
709,2
709,88
709,148
710,16
710,52
711,0
712,13
713,42
714,0
401,3
401,12
9907,55
102,107
519,3
1606,24
914,61
914,70
914,126
9908,10
103,24
104,24
9909,17
9909,77
201,94
1407,26
1407,118
202,94
203,119
203,130
301,28
301,66
9910,60
9910,139
9910,166
302,71
302,161
9911,150
204,74
204,112
715,58
9912,65
801,31
801,38
9913,64
802,120
802,140
803,24
804,15
805,116
9914,125
9915,145
9916,75
9916,89
9917,171
9918,18
9919,30
9919,133
9920,57
402,29
403,167
716,8
716,86
717,102
718,151
404,47
405,144
406,53
