0,101
1,101
0,501
1,501
2,501
0,502
1,502
0,901
1,901
0,902
1,902
2,902
0,903
0,904
0,905
0,906
0,907
1,907
0,1301
1,1301
0,601
0,602
0,603
0,908
0,909
0,910
0,911
0,1302
1,1302
0,1303
1,1303
2,1303
0,1101
0,1304
0,1305
0,1201
1,1201
2,1201
0,912
0,913
0,503
1,503
2,503
3,503
4,503
5,503
6,503
0,9901
0,701
0,1306
0,9902
0,1307
0,1308
0,1309
0,1310
1,1310
0,504
0,505
0,506
0,1501
1,1501
2,1501
3,1501
4,1501
0,507
0,508
0,1601
0,702
0,1311
1,1311
2,1311
0,1312
0,1313
1,1313
0,1314
0,1602
0,509
0,510
0,1001
0,1002
0,1003
0,1004
1,1004
0,1005
0,1006
0,1007
0,1502
0,1503
0,1504
0,1505
0,1506
1,1506
2,1506
0,1507
0,1508
0,1509
0,1510
0,703
1,703
0,1603
0,1511
0,1512
0,1513
0,704
0,1514
0,9903
0,1102
0,1103
0,1104
0,1604
0,511
0,512
1,512
0,1605
0,9904
1,9904
0,513
1,513
2,513
0,514
0,1401
0,705
0,515
0,516
0,1402
0,706
0,9905
1,9905
0,707
0,708
0,9906
0,1403
1,1403
0,1404
0,1405
0,1406
0,517
0,518
0,709
0,710
0,711
0,712
0,713
0,714
1,714
0,401
1,401
2,401
3,401
4,401
5,401
0,9907
0,102
0,519
0,1606
0,914
0,9908
0,103
0,104
1,104
0,9909
0,201
1,201
2,201
0,1407
0,202
1,202
2,202
3,202
4,202
0,203
1,203
0,301
0,9910
0,302
1,302
0,9911
0,204
0,715
0,9912
0,801
1,801
2,801
3,801
4,801
5,801
0,9913
0,802
0,803
0,804
0,805
0,9914
0,9915
1,9915
2,9915
3,9915
4,9915
5,9915
6,9915
7,9915
8,9915
9,9915
0,9916
1,9916
2,9916
0,9917
0,9918
0,9919
0,9920
0,402
1,402
0,403
1,403
0,716
1,716
0,717
0,718
0,404
1,404
2,404
0,405
0,406
