Titulo del Libro,Autor,Area,No. ,Código
Software Engineering – Concepts and Management,Allen Macro,Ingeniera de Software,1,1103
Software Engineering,I. Sommerville,Ingeniera de Software,1,1104
Security + Certification,Microsoft,Miscelanea,1,1604
Data Structures and Algorithms,"Alfred V. Aho, John E. Hopcroft, Jeffrey D. Ullman",Algoritmos,1,511
Tipos Abstractos de Datos y Algoritmos,"Edelmira Pasarella, Cristina Zoltan",Algoritmos,2,512
Data and Computer Communications,William Stallings,Miscelanea,1,1605
Estructura de Datos y Organización de Archivos,Mary E. S. Loomis,Computación,2,9904
Algoritmos + Estructuras de Datos = Programas,Niklaus Wirth,Algoritmos,3,513
"Scheduling Theory, Algorithms and Systems",Michael Pinedo,Algoritmos,1,514
Fundamentals of Interactive Computer Graphics,"J. D. Foley, A. van Dam",Computación Grafica,1,1401
Programming Challenges – The Programming Contest Material,"Steven S. Skiena, Miguel A. Revilla",Computación General,1,705
"Estructura de Datos – Especificación, Diseño e Implementación",Xavier Franch Gutiérrez,Algoritmos,1,515
Introduction to Distributed Algorithms,Gerard Tel,Algoritmos,1,516
Graficas en la Web con Linux,NA,Computación Grafica,1,1402
JAVA – Cómo Programar,Harvey M. Deitel,Computación General,1,706
C Mathematical Function Handbook,Louis Baker,Computación General,2,9905
CORE JAVA,Gary Cornell,Computación General,1,707
JAVA Network Programming,Elliote Rusty Harold,Computación General,1,708
Problemas de la Metodología de la Programación,Luis Joyanes,Computación,1,9906
Graficas por Computadora,"Donald Hearn, M. Pauline Baker",Computación Grafica,2,1403
Computer Graphics – Principles and Practice,"J. D. Foley, A. van Dam",Computación Grafica,1,1404
"Interactive Computer Graphics – Data Structures, Algorithms, Languages",Wolfgang K. Giloi,Computación Grafica,1,1405
Graficas por Computadora,"John T. Demel, Michael J. Miller",Computación Grafica,1,1406
An Introduction to Data Structures and Algorithms with JAVA,Glenn W. Rowe,Algoritmos,1,517
Programación Orientada a Objetos,Timothy Budd,Algoritmos,1,518
The JAVA Programming Language,"Ken Arnold, James Gosling, David Holmes",Computación General,1,709
The Annotated C++ Reference Manual,"Margaret A. Ellis, Bjarne Stroustrup",Computación General,1,710
Curso de Programación con Turbo C++,Luis Joyanes,Computación General,1,711
Como Programar en C/C++,Harvey M. Deitel,Computación General,1,712
C++ Builder,Gérard LeBlanc,Computación General,1,713
"Programación en C++ - Algoritmos, Estructura de Datos y Objetos",Luis Joyanes,Computación General,2,714
A Logical Approach to Discrete Math,"David Gries, Fred B. Schneider",Discretas,6,401
Probabilistic Reasoning in Intelligent Systems,Judea Pearl,Computación,1,9907
A First Course in Stochastic Processes,Samuel Karlin,Matemáticas,1,102
The Science of Programming,David Gries,Algoritmos,1,519
Maximun Linux Security,NA,Miscelanea,1,1606
UNIX,"Kenneth H. Rosen, Richard R. Rosinski, James M. Farber",Sistemas Operativos,1,914
Lógica Programable,Mariano Barrón Ruiz,Computación,1,9908
Introducción a la Lógica Matematica,NA,Matemáticas,1,103
Algebra Moderna,NA,Matemáticas,2,104
Teoría de Conmutación y Diseño Lógico,"Frederick J. Hill, Gerald R. Peterson",Computación,1,9909
"Dinámica – Principios, Preguntas y Problemas Resultos",Douglas Figueroa,Física,3,201
Introducción a la Graficación por Computador,"J. D. Foley, A. van Dam",Computación Grafica,1,1407
"Cinemática – Principios, Preguntas y Problemas Resuelto",Douglas Figueroa,Física,5,202
Fisica,"Francis Sears, Mark Zemansky",Física,2,203
An Introduction to Numerical Analysis,Kendall E. Atkinson,Calculo Numérico,1,301
Discrete Neural Computation,"Kai-Yeung Siu, Vwani Roychowdhury, Thomas Kailath",Computación,1,9910
Análisis Numérico,"Richard L. Burden, J. Douglas Faire",Calculo Numérico,2,302
A Mathematical Introduction to Logic,Herbert B. Enderton,Computación,1,9911
Física para Ciencias e Ingenieria,"Raymond A. Serway, John W. Jewett",Física,1,204
Program Development in Java,Barbara Liskov,Computación General,1,715
Reasoning with Incomplete Information,David W. Etherington,Computación,1,9912
Fundamentos de Sistemas de Bases de Datos,"Ramez E. Elmasri, Shamkant B. Navathe",Bases de Datos,6,801
UML y Patrones,Craig Larman,Computación,1,9913
Principles of Distributed Database Systems,"M. Tamer Ozsu, Patrick Valduriez",Bases de Datos,1,802
DBA Handbook,NA,Bases de Datos,1,803
Aprendiendo MySQL en 21 Días,Mark Maslakowski,Bases de Datos,1,804
An Introduction to Database Systems,C. J. Date,Bases de Datos,1,805
Arquitectura de Computadores,M. Morris Mano,Computación,1,9914
Structured Computer Organization,Andrew S. Tanenbaum,Computación,10,9915
Organizacion y Diseño de Computadoras,"David A. Patterson, John L. Hennessy",Computación,3,9916
Organizacion y Arquitectura de Computadores,William Stallings,Computación,1,9917
Microcomputer-Based Design,John B. Peatman,Computación,1,9918
Minicomputer Systems,"Richard H. Eckhouse Jr., L. Robert Morris",Computación,1,9919
Microprocessors and Interfacing – Programming and Hardware,Douglas V. Hall,Computación,1,9920
Matematicas Discreta y Combinatoria,Ralph P. Grimaldi,Discretas,2,402
Matematicas Discretas,Richard Johnsonbaugh,Discretas,2,403
HTML – La Guía Completa,"Chuck Musciano, Bill Kennedy",Computación General,2,716
Aprendiendo JavaScript en una semana,Arman Danesh,Computación General,1,717
JavaScript – The Definitive Guide,David Flanagan,Computación General,1,718
Elementos de Teoría Combinatoria,Vicente Yriarte,Discretas,3,404
Estructuras Discretas II – Problemarios,Xiomara Contreras,Discretas,1,405
Problemario para Estructuras Discretas I,Pedro R. Borges,Discretas,1,406
