Titulo del Libro,Autor,No. ,Código
Minicomputer Systems,"Richard H. Eckhouse Jr., L. Robert Morris",1,9919
Microprocessors and Interfacing – Programming and Hardware,Douglas V. Hall,1,9920
Matematicas Discreta y Combinatoria,Ralph P. Grimaldi,2,402
Matematicas Discretas,Richard Johnsonbaugh,2,403
HTML – La Guía Completa,"Chuck Musciano, Bill Kennedy",2,716
Aprendiendo JavaScript en una semana,Arman Danesh,1,717
JavaScript – The Definitive Guide,David Flanagan,1,718
Elementos de Teoría Combinatoria,Vicente Yriarte,3,404
Estructuras Discretas II – Problemarios,Xiomara Contreras,1,405
Problemario para Estructuras Discretas I,Pedro R. Borges,1,406
