Titulo del Libro,Autor,Area,No. 
Data and Computer Communications,William Stallings,Miscelanea,1
Estructura de Datos y Organización de Archivos,Mary E. S. Loomis,,2
Algoritmos + Estructuras de Datos = Programas,Niklaus Wirth,Algoritmos,3
"Scheduling Theory, Algorithms and Systems",Michael Pinedo,Algoritmos,1
Fundamentals of Interactive Computer Graphics,"J. D. Foley, A. van Dam",Computación Grafica,1
Programming Challenges – The Programming Contest Material,"Steven S. Skiena, Miguel A. Revilla",Computación General,1
"Estructura de Datos – Especificación, Diseño e Implementación",Xavier Franch Gutiérrez,Algoritmos,1
,,,
Introduction to Distributed Algorithms,Gerard Tel,Algoritmos,1
Graficas en la Web con Linux,,Computación Grafica,1
JAVA – Cómo Programar,Harvey M. Deitel,Computación General,1
C Mathematical Function Handbook,Louis Baker,,2
CORE JAVA,Gary Cornell,Computación General,1
JAVA Network Programming,Elliote Rusty Harold,Computación General,1
Problemas de la Metodología de la Programación,Luis Joyanes,,1
Graficas por Computadora,"Donald Hearn, M. Pauline Baker",Computación Grafica,2
Computer Graphics – Principles and Practice,"J. D. Foley, A. van Dam",Computación Grafica,1
"Interactive Computer Graphics – Data Structures, Algorithms, Languages",Wolfgang K. Giloi,Computación Grafica,1
Graficas por Computadora,"John T. Demel, Michael J. Miller",Computación Grafica,1
An Introduction to Data Structures and Algorithms with JAVA,Glenn W. Rowe,Algoritmos,1
Programación Orientada a Objetos,Timothy Budd,Algoritmos,1
The JAVA Programming Language,"Ken Arnold, James Gosling, David Holmes",Computación General,1
The Annotated C++ Reference Manual,"Margaret A. Ellis, Bjarne Stroustrup",Computación General,1
Curso de Programación con Turbo C++,Luis Joyanes,Computación General,1
Como Programar en C/C++,Harvey M. Deitel,Computación General,1
C++ Builder,Gérard LeBlanc,Computación General,1
"Programación en C++ - Algoritmos, Estructura de Datos y Objetos",Luis Joyanes,Computación General,2
A Logical Approach to Discrete Math,"David Gries, Fred B. Schneider",Discretas,6
Probabilistic Reasoning in Intelligent Systems,Judea Pearl,,1
A First Course in Stochastic Processes,Samuel Karlin,Matemáticas,1
The Science of Programming,David Gries,Algoritmos,1
Maximun Linux Security,,Miscelanea,1
UNIX,"Kenneth H. Rosen, Richard R. Rosinski, James M. Farber",Sistemas Operativos,1
,,,
Lógica Programable,Mariano Barrón Ruiz,,1
Introducción a la Lógica Matematica,,Matemáticas,1
Algebra Moderna,,,2
Teoría de Conmutación y Diseño Lógico,"Frederick J. Hill, Gerald R. Peterson",,1
"Dinámica – Principios, Preguntas y Problemas Resultos",Douglas Figueroa,Física,3
Introducción a la Graficación por Computador,"J. D. Foley, A. van Dam",Computación Grafica,1
"Cinemática – Principios, Preguntas y Problemas Resuelto",Douglas Figueroa,Física,5
Fisica,"Francis Sears, Mark Zemansky",Física,2
An Introduction to Numerical Analysis,Kendall E. Atkinson,Calculo Numérico,1
Discrete Neural Computation,"Kai-Yeung Siu, Vwani Roychowdhury, Thomas Kailath",,1
Análisis Numérico,"Richard L. Burden, J. Douglas Faire",Calculo Numérico,2
A Mathematical Introduction to Logic,Herbert B. Enderton,,1
Física para Ciencias e Ingenieria,"Raymond A. Serway, John W. Jewett",Física,1
Program Development in Java,Barbara Liskov,Computación General,1
Reasoning with Incomplete Information,David W. Etherington,,1
Fundamentos de Sistemas de Bases de Datos,"Ramez E. Elmasri, Shamkant B. Navathe",Bases de Datos,6
UML y Patrones,Craig Larman,,1
Principles of Distributed Database Systems,"M. Tamer Ozsu, Patrick Valduriez",Bases de Datos,1
DBA Handbook,,,1
Aprendiendo MySQL en 21 Días,Mark Maslakowski,Bases de Datos,1
An Introduction to Database Systems,C. J. Date,Bases de Datos,1
Arquitectura de Computadores,M. Morris Mano,,1
Structured Computer Organization,Andrew S. Tanenbaum,,10
Organizacion y Diseño de Computadoras,"David A. Patterson, John L. Hennessy",,3
Organizacion y Arquitectura de Computadores,William Stallings,,1
Microcomputer-Based Design,John B. Peatman,,1
Minicomputer Systems,"Richard H. Eckhouse Jr., L. Robert Morris",,1
Microprocessors and Interfacing – Programming and Hardware,Douglas V. Hall,,1
FOTO 212,,,
Matematicas Discreta y Combinatoria,Ralph P. Grimaldi,Discretas,2
Matematicas Discretas,Richard Johnsonbaugh,Discretas,2
HTML – La Guía Completa,"Chuck Musciano, Bill Kennedy",Computación General,2
Aprendiendo JavaScript en una semana,Arman Danesh,Computación General,1
JavaScript – The Definitive Guide,David Flanagan,Computación General,1
Elementos de Teoría Combinatoria,Vicente Yriarte,Discretas,3
Estructuras Discretas II – Problemarios,Xiomara Contreras,Discretas,1
Problemario para Estructuras Discretas I,Pedro R. Borges,Discretas,1
